,namespace,(Prof) M.Correções,(Prof) M.Comentários Forum,(Prof) M.Resultados,(Admin) M.Correções,(Admin) M.Comentários Forum,(Admin) M.Resultados,(Student) M.Comentários Forum,(Student) M. de Likes,(Student) M. de Uploads
0,abdiasmartins,0.26,0.0,19.5,0.0,0.0,0.0,4.0,3.18,0.0
1,acessoalmirantetamandare,37.13,4.0,0.83,0.11,0.0,24.75,32.0,50.44,0.45
2,acessoboqueirao,22.08,15.0,0.94,0.3,1.0,3.2,58.0,9.07,0.09
3,acessocampolargo,46.3,6.0,0.66,0.03,0.0,1.9,9.0,30.39,0.56
4,acessocampolargokids,33.66,11.0,2.94,0.0,0.0,0.0,19.0,19.28,0.26
5,acessofazendariogrande,32.11,8.0,0.54,0.0,0.0,2.96,58.0,22.17,0.08
6,acessohauer,25.75,48.0,3.17,0.1,0.0,0.0,221.0,70.38,0.29
7,acessopinhais,29.95,7.0,0.4,0.28,0.0,8.33,5.0,1.87,0.47
8,acessosantafelicidade,11.21,22.0,1.02,0.0,0.0,7.0,57.0,44.42,0.36
9,acessosjpinhais,47.63,200.0,0.93,1.0,2.0,14.43,455.0,60.32,0.53
10,adrianochan,6.27,0.0,299.0,6.04,1.0,7.48,1.0,1.46,0.0
11,aescobjetivo,63.45,14.0,0.84,10.01,0.0,0.53,21.0,44.53,0.57
12,alpha,26.52,16.0,0.75,0.24,0.0,1.74,128.0,79.27,0.61
13,amadeus,98.11,15.0,1.2,0.01,1.0,1.22,62.0,62.74,0.43
14,antoniairene,0.58,12.0,12.0,0.0,0.0,0.0,22.0,8.75,0.0
15,antoniolima,3.12,8.0,13.67,0.0,0.0,0.0,17.0,4.37,0.29
16,antoniomelo,0.1,0.0,21.0,0.0,0.0,0.0,2.0,5.81,0.0
17,apogeustoantonio2,0.81,0.0,3.1,0.0,0.0,5.64,7.0,20.07,0.0
18,brasilcursinhos,2.56,25.0,7.79,0.01,0.0,7.48,3.0,25.32,0.0
19,casdinhosjc,2.08,5.0,35.0,5.35,5.0,1.5,19.0,67.35,0.0
20,casdvest,2.25,0.0,95.67,0.0,0.0,7.76,1.0,13.1,0.0
21,ceabb,29.87,1.0,5.3,1.23,0.0,13.25,10.0,110.13,0.23
22,ceespacolivre,32.34,12.0,2.94,0.48,0.0,114.5,45.0,76.55,0.26
23,cem,77.53,20.0,4.43,3.03,0.0,0.0,49.0,79.01,0.69
24,ceprimeiromundo,28.09,16.0,5.26,0.17,0.0,6.38,61.0,10.86,0.55
25,ciadosaber,0.95,0.0,6.0,0.0,0.0,0.0,6.0,63.33,0.0
26,colegioarena,4.26,0.0,50.46,0.66,0.0,3.55,1.0,1.96,0.01
27,colegiobetelbrasileirosp,54.63,43.0,46.0,0.0,0.0,13.53,101.0,56.21,0.53
28,colegiobilac,30.89,26.0,9.21,0.15,0.0,15.91,81.0,85.54,0.07
29,colegiobrasilia,13.68,286.0,4.88,1.97,77.0,5.56,723.0,219.82,0.55
30,colegiocb,28.1,31.0,0.92,0.0,0.0,0.0,54.0,69.11,0.11
31,colegiodasamericas,93.24,45.0,0.89,4.51,4.0,1.62,110.0,47.2,1.19
32,colegioeag,34.2,0.0,21.17,0.1,1.0,54.43,109.0,26.07,1.7
33,colegioecursodesafio,13.97,1.0,2.25,0.05,0.0,4.54,13.0,81.23,0.17
34,colegioecursoprogressao,11.14,0.0,0.42,0.03,0.0,6.29,11.0,22.59,0.21
35,colegioeducallis,33.5,0.0,168.67,0.4,0.0,0.93,2.0,0.41,0.01
36,colegioensitec,61.12,2.0,3.27,0.79,0.0,23.86,83.0,31.81,0.95
37,colegioflamingo,66.91,0.0,4.71,0.0,0.0,2.06,0.0,20.82,0.27
38,colegiofuturageracao,68.31,0.0,10.67,0.06,0.0,32.0,7.0,47.78,0.78
39,colegioglobal,20.5,0.0,3.06,0.0,0.0,49.0,0.0,0.14,0.0
40,colegioguilhermedealmeida,116.81,0.0,1.81,12.85,0.0,20.1,18.0,66.21,0.59
41,colegioiguatemy,49.02,79.0,1.2,8.98,30.0,7.55,366.0,173.81,0.32
42,colegiointegral,9.72,148.0,5.22,4.18,0.0,0.69,459.0,148.58,0.26
43,colegiojoaopaulo,47.5,145.0,1.19,0.26,10.0,4.03,296.0,74.11,0.97
44,colegioliceu,5.89,0.0,3.8,0.0,0.0,0.0,0.0,0.89,0.0
45,colegioplanck,25.15,0.0,87.0,5.63,0.0,1.05,0.0,0.0,0.01
46,colegiopremium,30.3,1.0,10.86,0.03,0.0,19.0,7.0,15.41,0.05
47,colegiosete,8.57,0.0,4.38,0.0,1.0,1.42,20.0,25.6,0.25
48,colegiouirapuru,9.46,0.0,4.61,0.0,0.0,0.0,0.0,11.93,0.0
49,colegiouniverso,9.42,0.0,7.89,0.04,0.0,1.64,2.0,31.59,0.29
50,conexaosaber,27.89,1.0,2.22,0.02,0.0,12.2,5.0,14.12,2.0
51,conradochaves,1.27,2.0,0.0,0.0,0.0,0.0,10.0,7.29,0.14
52,cursobase,9.2,0.0,0.0,0.0,0.0,8.17,0.0,2.33,0.0
53,cursoenfase,0.06,0.0,0.0,0.0,0.0,25.6,0.0,0.52,0.0
54,cursoisfera,3.97,0.0,0.0,0.83,0.0,0.79,0.0,0.23,0.0
55,cursosazambuja,0.0,1.0,99.67,6.1,9.0,3.32,54.0,22.55,0.0
56,deltaeducacional,2.8,0.0,0.0,0.01,0.0,2.31,0.0,0.0,0.0
57,eacorcovado,36.18,1.0,3.48,2.04,0.0,6.02,9.0,22.83,0.17
58,eccos,109.92,174.0,2.26,15.3,0.0,1.73,567.0,262.54,0.29
59,educarse,2.21,1.0,19.0,0.0,0.0,0.0,0.0,36.26,0.0
60,einsteinassis,5.28,1.0,40.0,0.82,0.0,0.87,5.0,13.38,0.0
61,eldapereira,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0
62,elitecuritibaemilianoperneta,30.65,1.0,0.98,1.37,0.0,0.46,1.0,3.13,0.02
63,escolaceciliameireles,0.06,0.0,0.0,0.29,0.0,0.0,0.0,3.02,0.0
64,escolamaster,0.15,0.0,4.0,0.0,0.0,0.0,1.0,0.32,0.0
65,escolavida,3.22,0.0,11.5,0.0,0.0,23.0,0.0,0.17,0.0
66,faculdadeflamingo,2.84,11.0,4.23,0.09,2.0,16.63,34.0,2.24,0.0
67,francobrasileiro,0.2,0.0,2.5,0.0,0.0,0.0,15.0,1.23,0.0
68,gamt,14.7,0.0,0.0,4.11,0.0,0.0,2.0,14.66,0.03
69,gerabixo,2.0,0.0,0.0,0.78,0.0,0.0,1.0,2.7,0.0
70,informacao,0.58,0.0,27.5,0.31,0.0,0.0,0.0,12.53,0.0
71,insa,15.19,0.0,2.95,0.0,0.0,1.35,0.0,111.82,0.0
72,integra,381.68,230.0,2.31,15.16,13.0,3.0,357.0,188.15,16.3
73,integradaeducativa,47.74,2.0,0.64,0.0,0.0,123.0,7.0,24.61,0.29
74,invictus,139.26,0.0,9.5,1.26,0.0,11.4,0.0,254.96,0.11
75,ipdhsolucoes,0.01,0.0,0.0,0.03,0.0,610.0,3.0,0.8,0.02
76,isem,73.15,28.0,6.19,0.18,1.0,37.17,72.0,23.72,0.68
77,itamarati,34.17,89.0,26.09,0.06,0.0,20.5,176.0,25.03,0.27
78,jardimsaopaulo,1.3,0.0,0.0,0.01,0.0,18.5,0.0,0.01,0.0
79,joaobelem,0.21,1.0,33.0,0.0,0.0,0.0,21.0,7.03,0.0
80,macvest,4.38,1.0,18.9,0.79,1.0,1.31,15.0,57.06,0.0
81,mariaeunice,0.62,0.0,26.0,0.0,0.0,0.0,3.0,12.81,0.04
82,marialaura,0.18,2.0,19.0,0.0,1.0,0.0,4.0,3.29,0.03
83,marianair,0.04,3.0,8.67,0.0,0.0,0.0,14.0,19.08,0.0
84,mariaolinda,3.25,13.0,0.0,0.0,0.0,0.0,10.0,5.88,0.62
85,mariliamattoso,83.25,32.0,2.65,4.11,5.0,145.5,86.0,42.19,0.03
86,moaciralves,0.21,2.0,52.0,0.0,0.0,52.0,6.0,4.21,0.0
87,murilorocha,0.28,12.0,45.6,0.0,0.0,0.0,113.0,8.32,0.01
88,nucleocriativo,1.09,0.0,57.0,0.03,0.0,57.0,8.0,7.83,0.01
89,objetivolorena,26.98,21.0,1.49,0.2,0.0,3.94,62.0,77.1,0.13
90,oficinadoestudante,26.91,0.0,2.57,0.28,0.0,3.43,1.0,11.96,0.0
91,overabelcabral,13.04,39.0,4.54,0.0,3.0,11.13,122.0,79.51,0.39
92,overjoaopessoa,1.61,0.0,3.05,0.0,0.0,2.78,3.0,0.98,0.0
93,overlimaesilva,22.81,1.0,2.62,0.0,0.0,0.0,4.0,30.35,0.02
94,overmarciliofurtado,5.69,6.0,3.45,0.21,2.0,5.79,21.0,27.59,0.41
95,overmossoro,1.81,0.0,2.13,0.0,0.0,3.23,0.0,7.19,0.19
96,overpontanegra,7.91,4.0,11.93,0.0,0.0,6.88,17.0,47.51,0.29
97,overzonanorte,8.41,8.0,2.78,0.0,0.0,4.74,22.0,20.3,0.3
98,physicsalcindocacela,1.01,0.0,224.5,0.0,2.0,5.76,11.0,4.59,0.0
99,physicsalmirantebarroso,6.08,17.0,4.13,0.0,0.0,1.64,44.0,41.12,0.03
100,physicsaugustomontenegro,5.5,6.0,2.94,0.0,0.0,1.41,16.0,23.42,0.14
101,physicsbatistacampos,25.88,5.0,27.0,0.0,1.0,0.62,21.0,78.48,0.11
102,physicscidadenova,5.15,12.0,6.09,0.0,0.0,1.28,39.0,26.78,0.02
103,physicsconselheirofurtado,0.11,1.0,0.0,0.0,0.0,48.0,2.0,19.4,0.0
104,physicsmacapa,2.55,0.0,28.25,0.01,0.0,0.4,0.0,17.68,0.0
105,physicsumarizal,8.19,16.0,11.95,0.15,0.0,1.52,290.0,54.92,0.07
106,pioxi,17.85,16.0,9.55,0.23,0.0,262.5,48.0,39.45,0.11
107,portinari,14.95,59.0,2.32,0.46,0.0,0.98,228.0,57.15,0.77
108,porto,41.15,3.0,0.68,0.01,0.0,12.33,40.0,32.73,0.01
109,primeirodemaio,1.68,0.0,9.5,0.0,0.0,0.0,0.0,2.67,0.0
110,prismapatrocinio,6.11,0.0,0.49,0.41,0.0,3.28,0.0,0.0,0.16
111,profederal,0.19,2.0,77.5,0.11,0.0,5.54,1.0,5.03,0.0
112,progressaodc,21.69,0.0,0.3,0.0,0.0,6.86,2.0,3.85,2.58
113,progressaoig,19.36,2.0,0.7,0.0,0.0,8.0,0.0,26.14,0.08
114,provaspoliedro,46.74,0.0,20.41,0.38,0.0,0.99,0.0,0.06,0.05
115,psantagema,82.73,0.0,1.0,0.0,0.0,3.93,0.0,10.46,0.39
116,qescola,0.7,2.0,17.15,0.87,3.0,223.0,2.0,0.09,0.03
117,sagradafamilia,0.14,0.0,25.67,0.0,0.0,0.0,0.0,0.35,0.0
118,santoamerico,101.17,1.0,1.56,0.03,0.0,40.67,16.0,37.28,1.77
119,saseducacao,0.14,0.0,22.0,0.0,0.0,0.0,0.0,0.23,0.0
120,spdacruz,61.45,1.0,2.41,0.0,0.0,15.19,3.0,83.95,0.61
121,stellamarisaguaverde,37.09,60.0,5.69,0.84,0.0,4.62,123.0,85.85,0.26
122,stellamarisjuveve,39.4,67.0,2.89,0.01,1.0,77.67,280.0,60.26,0.36
123,stellamarisxaxim,38.2,5.0,2.17,0.0,0.0,27.12,41.0,71.09,0.12
124,universitariolondrina,25.15,83.0,1.62,1.41,2.0,8.75,274.0,35.9,0.21
125,universobarcarena,10.6,0.0,16.47,0.07,0.0,0.81,19.0,93.66,0.04
126,villalobos,26.85,135.0,1.58,9.08,14.0,2.28,347.0,55.67,0.27
127,abiliomartins,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.94,0.0
128,anossaatmosfera,0.0,0.0,0.0,0.42,1.0,0.0,2.0,2.25,0.0
129,beityaacov,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,capacitacaoinspira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0
131,cats,0.0,1.0,23.0,0.0,0.0,23.0,1.0,0.17,0.0
132,colegiopremiumgentil,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1.24,0.0
133,contemporaneocidadeverde,0.0,0.0,29.5,0.01,0.0,39.33,1.0,0.06,0.0
134,contemporaneolagoanova,0.0,0.0,0.0,0.0,0.0,15.48,2.0,0.5,0.0
135,cursoleopoldo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0
136,cursoprogressao,0.0,0.0,0.0,0.0,0.0,103.5,0.0,0.14,0.0
137,dante,0.0,1.0,3.5,0.0,0.0,3.5,0.0,0.14,0.0
138,elitecuritiba,0.0,1.0,0.0,0.0,0.0,185.5,1.0,9.11,0.0
139,guilhermefilho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0
140,institutoeurofarma,0.0,0.0,0.0,0.0,0.0,73.5,0.0,0.0,0.0
141,iracemarufino,0.0,12.0,5.25,0.0,0.0,0.0,7.0,2.67,0.1
142,joaorosa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0
143,joaosampaio,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.75,0.0
144,laboratoriosromildo,0.0,0.0,0.0,0.0,0.0,65.0,1.0,7.72,0.0
145,lidera,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.12,0.0
146,liessin,0.0,0.0,6.67,0.0,0.0,0.0,5.0,20.5,0.0
147,liessinbarra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92,0.0
148,litteratus,0.0,0.0,33.5,0.12,0.0,22.33,0.0,0.22,0.0
149,master,0.0,0.0,347.0,0.0,0.0,0.9,1.0,0.29,0.0
150,monsenhorgoncalo,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.47,0.0
151,novotempo,0.0,0.0,320.0,0.0,0.0,45.71,0.0,0.34,0.0
152,nsfatima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
153,overnascimentodecastro,0.0,0.0,52.25,0.0,0.0,9.95,0.0,0.88,0.0
154,santadoroteia,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.21,0.0
155,senhorbonfim,0.0,5.0,25.0,0.0,0.0,0.0,19.0,10.64,0.0
156,souhabilis,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.07,0.0
157,valdemiracoelho,0.0,1.0,11.33,0.0,0.0,0.0,1.0,2.59,0.0
158,venceslauchaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
